"id","url","uploaded","type","duration","createdAt","updatedAt","userId"
71,"hKtS1SQQXp0","2019-06-05 11:55:36.33+02","youtube",5,"2019-06-05 11:55:36.33+02","2019-06-05 11:55:36.33+02",30
72,"peKgq3Ard8E","2019-06-05 11:55:51.309+02","youtube",8,"2019-06-05 11:55:51.309+02","2019-06-05 11:55:51.309+02",30
73,"4X2irOt_hZo","2019-06-05 11:56:27.79+02","youtube",7,"2019-06-05 11:56:27.79+02","2019-06-05 11:56:27.79+02",30
74,"SFNQgsTAnwg","2019-06-05 11:56:55.774+02","youtube",7,"2019-06-05 11:56:55.774+02","2019-06-05 11:56:55.774+02",30
75,"P8Yty-xNr2A","2019-06-05 11:57:22.392+02","youtube",10,"2019-06-05 11:57:22.392+02","2019-06-05 11:57:22.392+02",30
76,"8TPDC_3QCPY","2019-06-05 11:57:49.133+02","youtube",7,"2019-06-05 11:57:49.133+02","2019-06-05 11:57:49.133+02",30
77,"2umod5Ha624","2019-06-05 11:58:22.214+02","youtube",10,"2019-06-05 11:58:22.214+02","2019-06-05 11:58:22.214+02",30
78,"zm1Q9x4prtE","2019-06-05 11:58:41.281+02","youtube",9,"2019-06-05 11:58:41.281+02","2019-06-05 11:58:41.281+02",30
79,"0BBUOBLMln0","2019-06-05 11:59:14.994+02","youtube",8,"2019-06-05 11:59:14.994+02","2019-06-05 11:59:14.994+02",30
80,"OcltdciHn6s","2019-06-05 11:59:53.878+02","youtube",5,"2019-06-05 11:59:53.878+02","2019-06-05 11:59:53.878+02",30
81,"WwOYrXNZwdQ","2019-06-05 12:00:38.425+02","youtube",2,"2019-06-05 12:00:38.425+02","2019-06-05 12:00:38.425+02",30
82,"0Smjm-dbBEc","2019-06-05 12:01:01.753+02","youtube",9,"2019-06-05 12:01:01.753+02","2019-06-05 12:01:01.753+02",30
83,"Si2-KCIi6HI","2019-06-05 12:01:20.486+02","youtube",11,"2019-06-05 12:01:20.486+02","2019-06-05 12:01:20.486+02",30
84,"cKk25lj5eE0","2019-06-05 12:02:15.4+02","youtube",9,"2019-06-05 12:02:15.4+02","2019-06-05 12:02:15.4+02",30
85,"nSXDID6O9hk","2019-06-05 12:02:29.427+02","youtube",7,"2019-06-05 12:02:29.427+02","2019-06-05 12:02:29.427+02",30
86,"zDq_SmyzeaY","2019-06-05 12:02:53.312+02","youtube",10,"2019-06-05 12:02:53.312+02","2019-06-05 12:02:53.312+02",30
87,"zDq_SmyzeaY","2019-06-05 12:03:10.256+02","youtube",10,"2019-06-05 12:03:10.256+02","2019-06-05 12:03:10.256+02",30
