"id","sourceIn","sourceOut","targetIn","targetOut","created","flavor","createdAt","updatedAt","nodeId","targetNodeId","userId"
228,59,59,0,1425,"2019-07-10 20:36:14.549+02","pro","2019-07-10 20:36:14.549+02","2019-07-10 20:36:14.549+02",238,239,2
229,69,69,0,3557,"2019-07-10 20:38:16.914+02","neutral","2019-07-10 20:38:16.914+02","2019-07-10 20:38:16.914+02",238,240,2
230,208,208,0,574,"2019-07-10 20:43:21.062+02","pro","2019-07-10 20:43:21.062+02","2019-07-11 19:55:59.954+02",238,241,2
231,245,245,5,724,"2019-07-10 20:47:18.211+02","neutral","2019-07-10 20:47:18.211+02","2019-07-10 20:47:33.337+02",238,242,2
232,276,276,37,2478,"2019-07-10 20:48:57.67+02","neutral","2019-07-10 20:48:57.67+02","2019-07-11 19:57:08.741+02",238,243,2
233,329,329,0,6792,"2019-07-10 20:50:51.129+02","neutral","2019-07-10 20:50:51.13+02","2019-07-10 20:50:51.13+02",238,244,2
234,370,370,0,444,"2019-07-10 20:53:50.449+02","neutral","2019-07-10 20:53:50.45+02","2019-07-10 20:53:50.45+02",238,245,2
235,511,511,0,3727,"2019-07-10 21:00:04.841+02","neutral","2019-07-10 21:00:04.841+02","2019-07-10 21:00:04.841+02",238,246,2
236,647,647,0,97,"2019-07-10 21:05:02.548+02","neutral","2019-07-10 21:05:02.548+02","2019-07-10 21:05:02.548+02",238,247,2
237,759,759,0,376,"2019-07-10 21:08:07.244+02","neutral","2019-07-10 21:08:07.244+02","2019-07-10 21:08:07.244+02",238,248,2
238,793,793,0,5152,"2019-07-10 21:09:54.965+02","neutral","2019-07-10 21:09:54.965+02","2019-07-10 21:09:54.965+02",238,249,2
239,824,824,0,3152,"2019-07-10 21:11:30.9+02","neutral","2019-07-10 21:11:30.9+02","2019-07-10 21:11:30.9+02",238,250,2
240,1153,1153,0,3152,"2019-07-10 21:21:40.608+02","neutral","2019-07-10 21:21:40.608+02","2019-07-10 21:21:40.608+02",238,251,2
241,1324,1324,0,491,"2019-07-10 21:26:37.091+02","neutral","2019-07-10 21:26:37.092+02","2019-07-10 21:26:37.092+02",238,252,2
242,1578,1578,0,2647,"2019-07-10 21:32:11.26+02","neutral","2019-07-10 21:32:11.26+02","2019-07-10 21:32:11.26+02",238,253,2
243,1725,1725,0,164,"2019-07-10 21:43:52.739+02","neutral","2019-07-10 21:43:52.739+02","2019-07-10 21:43:52.739+02",238,254,2
244,1843,1843,0,2669,"2019-07-10 21:47:48.947+02","neutral","2019-07-10 21:47:48.947+02","2019-07-10 21:47:48.947+02",238,255,2
245,2073,2073,45,2587,"2019-07-10 21:52:22.938+02","neutral","2019-07-10 21:52:22.938+02","2019-07-10 21:53:35.47+02",238,256,2
246,2637,2637,0,2662,"2019-07-10 22:04:51.306+02","neutral","2019-07-10 22:04:51.306+02","2019-07-11 20:00:48.228+02",238,257,2
248,18,18,0,490,"2019-07-11 22:27:05.683+02","science","2019-07-11 22:27:05.683+02","2019-07-12 14:55:52.435+02",259,261,3
250,77,77,15,456,"2019-07-11 22:44:42.079+02","pro","2019-07-11 22:44:42.08+02","2019-07-11 22:44:42.08+02",259,263,3
251,67,80,7,944,"2019-07-11 23:21:05.67+02","pro","2019-07-11 23:21:05.67+02","2019-07-12 14:58:43.588+02",259,264,3
252,106,106,233,877,"2019-07-12 14:55:26.507+02","pro","2019-07-12 14:55:26.507+02","2019-07-12 14:55:26.507+02",259,265,3
254,73,73,0,268,"2019-07-12 15:15:36.744+02","contra","2019-07-12 15:15:36.744+02","2019-07-12 15:16:09.61+02",259,267,3
255,132,132,26,1461,"2019-07-12 15:41:34.648+02","pro","2019-07-12 15:41:34.648+02","2019-07-12 15:41:34.648+02",259,268,3
256,71,71,10,196,"2019-07-12 15:44:51.532+02","contra","2019-07-12 15:44:51.532+02","2019-07-12 15:44:51.532+02",259,269,3
258,46,46,85,564,"2019-07-13 17:30:36.92+02","science","2019-07-13 17:30:36.92+02","2019-07-13 17:30:36.92+02",206,271,3
259,71,71,63,756,"2019-07-13 17:38:05.001+02","factChecker","2019-07-13 17:38:05.001+02","2019-07-13 17:38:05.001+02",206,272,3
260,68,68,244,1396,"2019-07-13 17:41:27.371+02","neutral","2019-07-13 17:41:27.371+02","2019-07-13 17:41:27.371+02",217,273,3
261,71,71,12,23,"2019-07-13 18:04:18.78+02","pro","2019-07-13 18:04:18.78+02","2019-07-13 18:04:46.649+02",188,274,3
