"id","sourceIn","sourceOut","targetIn","targetOut","created","flavor","createdAt","updatedAt","nodeId","targetNodeId","userId"
154,632,632,0,3127,"2019-06-14 11:24:11.855+02","science","2019-06-14 11:24:11.855+02","2019-06-14 11:24:11.855+02",145,161,3
155,446,446,0,159,"2019-06-14 11:27:24.044+02","factChecker","2019-06-14 11:27:24.044+02","2019-06-14 11:27:24.044+02",145,162,3
156,717,717,0,461,"2019-06-14 11:47:45.742+02","factChecker","2019-06-14 11:47:45.742+02","2019-06-14 11:47:45.742+02",145,163,3
157,137,137,0,1111,"2019-06-14 15:58:19.247+02","neutral","2019-06-14 15:58:19.252+02","2019-06-14 15:58:19.252+02",156,164,3
158,133,133,0,518,"2019-06-14 16:27:32.673+02","factChecker","2019-06-14 16:27:32.673+02","2019-06-14 16:27:32.673+02",164,165,3
160,238,238,0,375,"2019-06-18 21:13:26.644+02","factChecker","2019-06-18 21:13:26.644+02","2019-06-18 21:13:26.644+02",166,168,3
161,205,205,0,892,"2019-06-18 21:19:22.199+02","contra","2019-06-18 21:19:22.199+02","2019-06-18 21:19:22.199+02",166,169,3
165,201,201,14,192,"2019-06-24 13:29:58.988+02","contra","2019-06-24 13:29:58.988+02","2019-06-24 13:32:47.052+02",166,173,3
166,238,238,223,234,"2019-06-24 13:38:01.594+02","joke","2019-06-24 13:38:01.594+02","2019-06-24 13:39:28.413+02",166,174,3
169,267,267,358,430,"2019-06-24 13:57:52.615+02","joke","2019-06-24 13:57:52.615+02","2019-06-24 13:57:52.615+02",166,177,3
170,206,206,12,196,"2019-06-24 14:06:04.005+02","contra","2019-06-24 14:06:04.006+02","2019-06-24 14:06:04.006+02",166,178,3
171,206,206,19,169,"2019-06-24 14:13:04.048+02","contra","2019-06-24 14:13:04.048+02","2019-06-24 14:13:04.048+02",166,179,3
172,83,83,4,9,"2019-07-05 19:18:30.673+02","neutral","2019-07-05 19:18:30.673+02","2019-07-05 19:18:30.673+02",180,181,3
173,86,86,0,50,"2019-07-05 19:39:24.586+02","pro","2019-07-05 19:39:24.586+02","2019-07-05 19:39:24.586+02",180,182,3
176,86,86,12,17,"2019-07-05 20:41:34.739+02","neutral","2019-07-05 20:41:34.739+02","2019-07-05 20:41:34.739+02",180,185,3
178,22,22,24,25,"2019-07-06 15:29:59.655+02","factChecker","2019-07-06 15:29:59.655+02","2019-07-06 15:29:59.655+02",180,187,3
179,47,48,74,325,"2019-07-06 18:34:51.282+02","contra","2019-07-06 18:34:51.282+02","2019-07-06 18:50:19.149+02",188,189,3
180,47,48,30,454,"2019-07-06 18:41:49.539+02","neutral","2019-07-06 18:41:49.54+02","2019-07-06 18:51:00.618+02",188,190,3
181,48,49,61,278,"2019-07-06 18:44:38.261+02","pro","2019-07-06 18:44:38.261+02","2019-07-06 18:51:23.493+02",188,191,3
182,48,48,29,67,"2019-07-06 19:00:43.832+02","contra","2019-07-06 19:00:43.832+02","2019-07-07 20:38:31.758+02",188,192,3
183,50,50,0,56,"2019-07-06 19:30:38.803+02","contra","2019-07-06 19:30:38.803+02","2019-07-07 20:42:24.56+02",188,193,3
184,72,72,204,246,"2019-07-06 19:43:42.01+02","joke","2019-07-06 19:43:42.011+02","2019-07-06 20:59:51.675+02",188,194,3
185,216,216,17,326,"2019-07-06 19:46:55.666+02","contra","2019-07-06 19:46:55.666+02","2019-07-13 11:57:01.765+02",194,195,3
186,69,69,1,51,"2019-07-06 19:49:16.014+02","contra","2019-07-06 19:49:16.014+02","2019-07-06 19:49:16.014+02",188,196,3
190,231,231,1,78,"2019-07-06 19:59:43.699+02","pro","2019-07-06 19:59:43.699+02","2019-07-06 19:59:43.699+02",194,200,3
191,74,74,0,34,"2019-07-06 20:05:22.212+02","contra","2019-07-06 20:05:22.212+02","2019-07-13 18:00:35.435+02",188,201,3
193,77,77,0,91,"2019-07-06 20:28:31.021+02","neutral","2019-07-06 20:28:31.021+02","2019-07-06 20:28:31.021+02",188,203,3
